title,lyrics_text
Cadillac,"Слава, что ты сделал?
Ха

[Припев: MORGENSHTERN]
Эй, цепь на мне, сыпь лавэ
Сотка тыщ на bag LV
Сотни сук хотят ко мне
Сотни сук хотят камней
Как дела? Как дела?
Это новый Cadillac
Делать деньги, делать деньги
Делать деньги, блядь, вот так (Окей, фью)

[Куплет 1: MORGENSHTERN]
Эй, bitch, we got some пушки (Пиф-пау)
Пау-пау, попал по тушке (Ха, тьфу)
На мне ща две подушки (Оу да)
Bitch, я висю, как молодой Пушкин (У)
Цепи висят на папе (Е)
Копаем кэш лопатой (Е)
Богатый, будто каппер (Е)
Как там твоя зарплата?
You might also like
ICE
MORGENSHTERN
Cristal & МОЁТ
MORGENSHTERN
Новый Мерин (New Benz)
MORGENSHTERN
[Бридж: MORGENSHTERN]
Эй, посмотри
Два мульта на мне — часы
Три на шее, семь под жопой
Мне чуть больше двадцати
Посмотри, посмотри
Два мульта на мне — часы
Три на шее, семь под жопой
Мне чуть больше двадцати

[Припев: MORGENSHTERN]
Эй, цепь на мне, сыпь лавэ
Сотка тыщ на bag LV
Сотни сук хотят ко мне
Сотни сук хотят камней
Как дела? Как дела?
Это новый Cadillac
Делать деньги, делать деньги
Делать деньги, блядь, вот так

[Куплет 2: Элджей]
I am busy, мне похуй на кризис, я в нём вырос (Уа-уа-уа)
Кто о чём мечтал, то мы и взяли на вынос (Бля)
Эдлиб свежей, чем весь музыкальный бизнес (Блё-блё)
Этот фит убьёт быстрей, чем ко-ро-на-ви-рус (Пр-р-р)
Sayonara «Sick» Boy, это мой дом (Я), это мой жён
Это мой двор, ебейший chill zone (Оу да)
Молодой самурай с прозрачным зонтом (Оу да)
Под проливным валютным дождём
(Кх-кх-кх) Фенимор Купер
Разворот лукбука
Твоя подружка дрочит
На мой спорткар у клуба
[Припев: MORGENSHTERN]
Эй, цепь на мне, сыпь лавэ
Сотка тыщ на bag LV
Сотни сук хотят ко мне
Сотни сук хотят камней
Как дела? Как дела?
Это новый Cadillac
Делать деньги, делать деньги
Делать деньги, блядь, вот так

[Аутро: SLAVA MARLOW]
Слава, что ты сделал?"
Cristal & МОЁТ (Remix),"Skrrt
Я лью Cr—

[Куплет 1: SODA LUV & blago white]
Пялю этот бит, как фетишист, — я ебу петлю (Bih')
Убился, сделал мёртвый номер — это Le Truk (Эй)
Киса скидывает coochie в Инст — это preview
Со мной щас MAYOT — не только тот, который мне льют (Гр-ра, пау)
В Gucci есть дерьмо, на нём много мух
Они просто молча открывают рты под мой move (Тс-ш)
Год назад не понимали, кто такой SODA LUV (Кто?)
Щас за день sold out абсолютно на любой клуб (Оу)
Эта сука хочет звёзд — она чё, таксист?
Я люблю играть нулями, как хуёвый басист
Ноздря пропускает только белый — она расист (Проходите)
Я помог своим кентам убиться — это assist (В мясо)
Мамуля не верит до сих пор в то, что я артист (What?)
Успех сына вызывает у подружек зависть (Сучек)
Не проктолог, но у меня есть дерьмо на запись
(Кайф-кайф, кайф, кайф)
Чк-тк-а, пам-пам, пох

[Куплет 2: blago white]
(Кайф)
Как начало самолёта, сука, — это только бизнес-класс (Кайф)
Сука, я самый пиздатый — где моя награда, Гиннесс? (Сука)
Взорвал — наступил на мину (Boom)
Сделал лям, но это не цитрус (Ага)
Пингвин в студейке-иглу (Бр-р)
Я беру мяч, спасибо
Кто реально бы мог подумать? Я же, бля, не знаю русский (What?)
Глупый (Что?)
Ебанутый (Что?)
​blago белый, как Снупи (Ху)
Мальчик, он дал але-оп; Алишер, как будто он и я — Shaq и Kobe (Ballin')
​blago и MORGENSHTERN — утренние звёзды
You might also like
Том Ям (Блуд) (Tom Yum)
OG Buda & Джон Гарик (John Garik)
Не Адекват (Not Adequate)
OG Buda
23 февраля (February 23)
Oxxxymiron
[Бридж: blago white & OG Buda]
Кайф-кайф-кайф-кайф-кайф
Кайф-кайф, кайф-кайф-кайф
Это реально кайф a.k.a. KAIF
Гендир KAIF (Е), malchik — кайф (Кайф)

[Интерлюдия: OG Buda]
Он говорил, что он слайм, и я вытер ему нос
А, е (Buda)

[Куплет 3: OG Buda & MAYOT]
Если речь за 7-2, то я Бог там (Тюмень)
Ты приехал в мой город? (Бля) Ещё один лох там (Плюс один)
Забрал твою суку, но не бойся: я отдам (Забирай)
Я в центре внимания, и братики по бокам (Фью-фью-фью, skrrt)
А, плаг приносит дерьмо, спросил: «Скок там?» (Скоко?)
Кинул на весы проверить, что он мне не соврал (Часики)
У меня есть панчи, и я могу сделать нокдаун (Жёстко)
Просишься на фит, и я говорю: «Скок там?» (Кэш)
(А? Hold on)
Я такой: «Скоко?» (Мало)
Дорого. Я, Алишер, MAYOT, blago и SODA, а (Skrrt, гаиньг, гаиньг)
Снова я напиваюсь
У меня сиропчик (Лин), и я наливаю в стокан (Грязь, у)
Я горячее, и это похоже на противень (А, духовка)
Если лазер на тебе, то ты, наверное, противник (Бэнг)
Пытаешься соперничать (Попытка), но у тебя очень мало скилла, и ты мне противен (Бэ)
Я вижу деньги, бро, значит, я иду к ним (Кэш)
Курю в постели вудик и уснул — я проснусь с ним (Le' go)
У меня фут-фетиш — люблю пятки, но не ступни (Не ноги, hold on)
У меня вонючий газик (Пф-ф) — пукни (А-а)
Я базарю на битах — это дорогой базар (Базар)
Вызывай «03»: я в рэп-игре устроил пожар (Пожарные)
Твоей суке с тобой холодно, поэтому я её сношал (Ха-ха-ха)
Перед этим дал ей почитать, но я ща не про журнал (Lil Buda)
Убил два pack'а — накур, убил два pack'а — Шакур (2Pac)
Я могу стелить бесконечно — мне похуй (Skrrt)
Я забрал твою суку и буду её чпонькать
Приходит кэш — это большие цифры
Не суицид, но кручу, чтоб убило
Это успокаивает мои нервы
На ремиксе молодые легенд—
[Куплет 4: MORGENSHTERN]
(Алишерка)
Я (Ву) легендарен, будто Уинни Черчилль
Я-Я-Я очень богатый, но, пожалуйста, купи мерчик (Плиз)
Я, меня чёртом называют только черти (Факт)
Молодым дорогу, а, я начертил
Твоя сука очень хочет на мой перчик (Bih')
Я натяну её, как будто она перчи
Эта сука — шаурма, и я её ща верчу
Эти рэперы — они студенты, а мы в Ке****
Е, посмотри на мою новую машину! (Porsche)
Она такая красивая (Вау!)
Я купил её на деньги оттого, что вы постоянно слушали мою ссанину (Спасибо)
Я бизнесмен, мои доходы пассивные
А ты гейский гей, твои кенты — пассивы (Бэ)
Скоро я стану главою России
И подарю всем своим братьям по ксиве

[Аутро: blago white & SLAVA MARLOW]
Слава, что ты сделал?
Как ты можешь ненавидеть чувака
Который открыл ресторан для вам место, чтобы вы покушали?"
Грустная Песня (Sad Song),"Оу, оу, у
Я, я
Сука хочет денег, я-я-я
Е, а-я

[Припев: THRILL PILL]
Эта сука хочет денег (Я)
Поработай в постели, бэйби (Е-е)
Я кручу дерьмо прямо на постели, бэйби
Так проходит каждый день недели
В моём доме, как в отеле, сука хочет денег (Кэш)
Поработай в постели, бэйби (Бэйби-бэйби)
Эта сука хочет денег (Эй)
Поработай в постели, бэйби
Эта сука хочет денег (Let's go)

[Куплет 1: THRILL PILL]
Эта сука хочет моих денег
Она любит не меня, а пару моих песен
Чем я заслужил внимание этих дам?
Им известно: мой карман имеет очень крупный нал (Нал)
Сука, я вижу тебя насквозь
Я знаю, что для тебя я не больше, чем новый гость, е-е (У-у)
Будто собаке, ты просишь кость
Ты отравляешь мой мозг, и всё это не всерьёз, е-е (У-у)
Детка, это всё не в счёт
Детка, выпей за мой счёт, детка, ты здесь ни при чём, е-е
Просто схожи картинки (Е-е), девочки-невидимки
Отец мне говорил: «У каждой суки есть свой ценник»
Очередная ho придёт, я знаю её цели (Я знаю)
Ты змея, я тебе не верю
You might also like
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
ICE
MORGENSHTERN
Cristal & МОЁТ
MORGENSHTERN
[Припев: THRILL PILL]
Эта сука хочет денег (Я)
Поработай в постели, бэйби (Е-е)
Я кручу дерьмо прямо на постели, бэйби
Так проходит каждый день недели
В моём доме, как в отеле, сука хочет денег (Кэш)
Поработай в постели, бэйби (Бэйби-бэйби)
Эта сука хочет денег (Ву-ху, эй)
Поработай в постели, бэйби
Эта сука хочет денег

[Куплет 2: Егор Крид]
Эта сука хочет моих денег (Кэш)
Она хочет не меня, а хочет трахнуть телек (What?)
Чем я заслужил внимание этих дам? (Дам)
Им нужно только со мной фото в Инстаграм (Сука)
Только не веди себя, как моя сука
Ведь моя сука — твоя лучшая подруга
Лёд в стакане, лёд на шее, мой бриллиантовый ошейник
Детка не для отношений, эта детка — украшение
Я пинаю эти деньги — футболист (Ву-у)
Но она не любит игры, она любит игристое (Ха)
Эта детка одевается, будто лицо «HYPEBEAST» (BEAST)
Но сразу раздевается и уползает вниз
Я кидаю лёд в Bacardi, я кидаю лёд на wrist (Wrist)
Я тот самый грязный заяц, но перед ними я чист (Чист-чист)
Знаю, что сука мне врёт, я до последней капли тебе верил (А)
Пока не понял, что (Да-да-да)
[Припев: THRILL PILL]
Сука хочет денег (Я)
Поработай в постели, бэйби (Ву-у, е-е)
Я кручу дерьмо прямо на постели, бэйби
Так проходит каждый день недели
В моём доме, как в отеле, сука хочет денег (Кэш)
Поработай в постели, бэйби (Бэйби-бэйби)
Эта сука хочет денег (Ву-ху, эй)
Поработай в постели, бэйби
Эта сука хочет денег

[Куплет 3: MORGENSHTERN]
(Вэй) Весь my life без цели (Фью-фью)
На мне светят цепи (Бр-р, а)
Где-то плачет ректор (Ра-ра)
Mercedes, бля, белый (Оу, бля)
Везде строго первый (Хф-хф)
Сука хочет денег (Кэш)
Подмети ту мелочь (Бр-р, а)
Подскажу, чё делать (Оу, бля)
Папа хочет party (Пр-р, пау)
Па-па хочет барби (Ху, бя)
Барби хочет бабки (Папа)
Захочу — ударю, шаришь? (Папа)
Как ты заебла (А-ха-ха)
Дайте новую сюда
А чего же хочет эта дама?
[Припев: THRILL PILL]
Эта сука хочет денег (У-я)
Поработай в постели, бэйби (Е-е)
Я кручу дерьмо прямо на постели, бэйби (Ву)
Так проходит каждый день недели
В моём доме, как в отеле, сука хочет денег (Я, кэш)
Поработай в постели, бэйби (Бэйби, бэйби)
Эта сука хочет денег (Ву-ху, эй)
Поработай в постели, бэйби
Эта сука хочет денег"
Последняя Любовь (Last Love),"Ты снова куришь, снова слёзы на твоих щеках
Опять ждала меня бухого до семи утра (Ага)
Пообещал, что я всю жизнь буду любить тебя
Я рэпер, зай, — мои слова не стоят ни хуя (Ага)
И я подонок, я изменщик, я газлайтер и абьюзер
Я не нравлюсь твоей маме, да и хуй с ней (Ну, допустим)
Детка, хватит мне уже давать последний шанс (Ага)
Счастье — это не для нас

[Припев: MORGENSHTERN & Lida]
Последняя любовь, пепел на простынях
Бери все мои вещи, выкидывай из окна
Последняя любовь. Плачешь, а мне плевать
Ты больше не поверишь никому и никогда

[Куплет 2: MORGENSHTERN]
А ты вернула все подарки, отписалась в Инсте
В общем, сделала всю ту хуйню, что делают все
И я оставлю тебе травмы, когда брошу тебя
Ведь ты же так искала парня, что похож на отца
И когда будешь ныть подругам то, что я уебан
Попроси, чтоб они все мне перестали писать
Я с детства знал, что все девчонки любят плохих парней
Но, детка, я не плохой парень, я плохой человек
You might also like
GoodDayFlopTray
DJ Stonik1917
CARNIVAL
¥$, Kanye West & Ty Dolla $ign
euphoria
Kendrick Lamar
[Бридж: MORGENSHTERN]
И я нормальным быть пытался
Но я заебался
Я рождён уёбком, не достойным любви
Извини

[Припев: MORGENSHTERN & Lida]
Последняя любовь, пепел на простынях
Бери все мои вещи, выкидывай из окна
Последняя любовь. Плачешь, а мне плевать
Ты больше не поверишь никому и никогда

[Аутро: MORGENSHTERN & Lida]
Последняя любовь
Ты больше не поверишь никому и никогда
Последняя любовь
Ты больше не поверишь никому и никогда
Последняя любовь!
Последняя любовь!"
Lollipop,"Diamond S—
Sayonara, marshmallow
Па, па, па!
Sayonara Boy (—Mallow)

[Припев: Элджей & MORGENSHTERN]
Lolli-lollipop (А-а), заны ныряют в дабл кап
Lolli-lollipop (Pop-pop-pop), ещё один драг
Lolli-lollipop (Кх-кх-кх-кх) тает, как шоколад
В моих руках твой зад (Я) — я его фанат
Lolli-lollipop (Pop, pop), заны ныряют в дабл кап
Lolli-lollipop (Я, я), ещё один драг
Lolli-lollipop тает, как шоколад (Я)
В моих руках твой зад — я его фанат

[Куплет 1: Элджей & MORGENSHTERN]
Мокрая эротика под дождём без зонтика (Оу)
Жарко, как в тропиках (Оу), — это экзотика (А?)
Вишенка на торте (Ха), ты как Хейли Болдуин (Вуа)
Чиллим на resort'е (Ха), отморозки полные (А)

[Припев: Элджей]
Lolli-lollipop, заны ныряют в дабл кап
Lolli-lollipop (А-а), ещё один драг
Lolli-lollipop тает, как шоколад
В моих руках твой зад — я его фанат
Lolli-lollipop, заны ныряют в дабл кап
Lolli-lollipop, ещё один драг
Lolli-lollipop тает, как шоколад
В моих руках твой зад (Я-я) — я его фанат
You might also like
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
ICE
MORGENSHTERN
Новый Мерин (New Benz)
MORGENSHTERN
[Куплет 2: MORGENSHTERN]
Wow, а-а, детка — сладкий lollipop (Pop-pop)
Ням-ням, я бы тебе отлизал, ха
Ага, та детка будто изо льда (Ice)
Айда, прыгай в мой стакан (Wow!)
Но только пока мы не пара (А-а!), в кап летят два бара
Та-Та-Танцы на баре (Pop), ты королева бала
Но только пока мы не пара, и-и не будем парой
Ты сама это знала, ты сама всё знала
И я стал забывать тебя
Я забываю: ты lolli', а я поп-звезда
Дима Билан, и я давно допил стакан
А ты осталась там. Похуй

[Припев: Элджей & MORGENSHTERN]
Lolli-lollipop (Да), заны ныряют в дабл кап
Lolli-lollipop (Па, па! У), ещё один драг
Lolli-lollipop (Кх-кх-кх-кх) тает, как шоколад (Вау)
В моих руках твой зад — я его фанат
Lolli-lollipop, заны ныряют в дабл кап
Lolli-lollipop (Lollipop), ещё один драг
Lolli-lollipop (Па, па, па!) тает, как шоколад (Я)
В моих руках твой зад — я его фанат

[Аутро: Элджей & MORGENSHTERN]
Е, е, е-е-е, е-е-е, е-е
Па, па, па!
Lollipop"
Cristal & МОЁТ,"Я лью Cristal и Chandon Moët
Мечтал — теперь моё
Трачу на это, трачу на то
Трачу на это, трачу на то
Я лью Cristal и Chandon Moët
Мечтал — теперь моё
Трачу на это, трачу на то
Трачу на это, трачу на то
Я лью Cristal и Chandon Moët
Мечтал — теперь моё
Трачу на это, трачу на то
Трачу на это, трачу на то
Я лью Cristal и Chandon Moët
Мечтал — теперь моё

[Куплет]
Йа
S63 AMG (Е, е, е)
Летит в ночной Москве (Skrrt, let's go)
Все сучки палят вслед (Мой след)
Slap bitch, тут семь нулей (Е-е)
На мне ща VVS
Под жопой V и S
Yo, bitch, I got new Benz (New Benz)
До-Дорого пиздец (Фью-фью)
Большущий дядя-мальчик (У)
Купил се новые тачки
Парочку-парочку новеньких тачечек
Спасибо за подписочку на Рамзан Ахматыча (Спасибо!)
Большущий дядя-мальчик (Фью-фью)
Открыл се ресторанчик (KAIF)
Двадцать два года, сука, кто двигается пиздаче?
You might also like
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
ICE
MORGENSHTERN
Cristal & МОЁТ (Remix)
MORGENSHTERN, SODA LUV, blago white, OG Buda & MAYOT
[Припев]
Я лью Cristal и Chandon Moët
Мечтал — теперь моё
Трачу на это, трачу на то
Трачу на это, трачу на то
Я лью Cristal и Chandon Moët
Мечтал — теперь моё
Трачу на это, трачу на то
Трачу на это, трачу на то
Я лью Cristal и Chandon Moët
Мечтал — теперь моё
Трачу на это, трачу на то
Трачу на это, трачу на то
Я лью Cristal и Chandon Moët
Мечтал — теперь моё

[Аутро]
Слава, что ты сделал?"
ICE,"А-а, я не отдам хлеб
Я каменщик, работаю три дня, ы-а
Без зарплаты, у-а, я не отдам, я голоден
Эй, заберите свой металлолом

[Интерлюдия: SLAVA MARLOW]
Слава, что ты сделал?

[Припев: MORGENSHTERN]
Эти цепи на мне эту суку так манят
Закаменел, будто каменный камень
Нахуй игру, т.к. мы не играем
Заберу всё, будто бы я татарин
Эти цепи на м—

[Куплет 1: MORGENSHTERN]
Эй (Фью), м-м, ice, цепь на мне — это ice (Лёд, фью)
Снёс им башню, снёс им башню, будто ***** (Да, прямо с плеч, фью)
(Wha'?) М-м (Ай, фью), на-на мне biggest price (Чек), м, стоп
Он опять читает про то, какой он пиздатый? (Ага! Фью)
Попизди мне, типа тупой, да тока мой флоу — конфета (Sweet)
Ем котлету бабок — ты с бабулей ел котлету (Ха-ха-ха)
Каменный neck, да, каменный wrist, я будто бы в каменном веке (I-I-I-Ice)
Эй (Фью), я тупой, но мне заплатят деньги
You might also like
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
Новый Мерин (New Benz)
MORGENSHTERN
Cristal & МОЁТ
MORGENSHTERN
[Бридж: MORGENSHTERN]
Эти цепи на мне эту суку так манят
Закамен— (Ah!)

[Куплет 2: MORGENSHTERN & Азиз Аминович]
Выебал эту, а, хм (Ah-ha!), выебал эту тати (Ah! Фью)
В Кадиллак, да, Кадиллаке на Арбате (Да, прямо секс)
По-Попытайся под-подойти ты к моей хате, братик (Ну давай!)
Азиз Аминович (Босс?), заряжайте автоматик (Ту-ту-ту-ту)
Залетаю в boo, сука будто Малибу (Фью-фью, бу!)
Я ебу её так дико, как ебу судьбу (Еб—, ah!)
Я ебу её, как будто рэперское true (Facts)
Ах, трахнул — кинул, будто рэп-игру, м
И я ей не позвоню (М-м)

[Припев: MORGENSHTERN]
Эти цепи на мне эту суку так манят
Закаменел, будто каменный камень
Нахуй игру, т.к. мы не играем
Заберу всё, будто бы я татарин
Эти цепи на мне эту суку так манят
Закаменел, будто каменный камень
Нахуй игру, т.к. мы не играем
Заберу всё, будто бы я татарин
Эти цепи на мне"
El Problema,"E-E-El Primero с огромным хером
У меня проблема: Lambo' или Ferra’?
E-E-El Primero с огромным хером
У меня проблема: Lambo' или Ferra'?

[Куплет 1: MORGENSHTERN]
Эй, слышь
Я молодой босс, ты тупо мышь (Мышь)
Делаю деньги, пока ты пиздишь (Кэш)
Цепи на мне — это тысячи тыщ (Пять мультов, эй)
Я никогда ни на чё не копил (Нет)
Выебал рэп, потому что любил (М-ма)
Делаю бомбы, но я не с ИГИ—
(Запрещённая в Российской Федерации организация)

[Припев: MORGENSHTERN]
E-E-E-El Primero с огромным хером
У меня проблема: Lambo’ или Ferra'?
E-E-El Primero с огромным хером
У меня проблема: Lambo' или Ferra'? (Э-э-э-э-э)

[Куплет 2: Тимати & MORGENSHTERN]
У меня насущный вопрос:
Выбрать себе Rolls-Royce или Royce-Rolls?
Это big boys playing big toys
Тимати в клубе — знают, кто я такой
— Эй, проснись! Двадцатый год на дворе
— Окей (Фью)
Big boys playing with big toys (Big toys)
Я легендарен, как Pink Floyd (Pink Floyd)
Я на Ferrari, как big boss (Big boss)
Цепь на мне, как твой дом (Bling)
Слышь, мне похуй там, как ты (Как ты)
Разорвал контракты (Е-е-е)
Тимати стал делать лучше (Что?)
Когда ушёл из Black Star'а
You might also like
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
ICE
MORGENSHTERN
Cristal & МОЁТ
MORGENSHTERN
[Припев: MORGENSHTERN]
El Primero с огромным хером
У меня проблема: Lambo' или Ferra'?
E-E-El Primero с огромным хером
У меня проблема: Lambo' или Ferra’?

[Аутро: SLAVA MARLOW]
Слава, что ты сделал?"
Yung Hefner,"Мне так плёхо (Хуёво)
Одиноко (Ебано)
Без тебя (А-а)
Без тебя (А-а)
Без тебя (Хы-ы)
Наебал (Ха, е, е, о, блядь)

[Припев]
Эй, Хью Хефнер (Е)
Е, е, Хью Хефнер (Бр-пау)
Е, е, Хью Хефнер
Bitch, я вишу, как молодой Хефнер
Е, е, Хью Хефнер (Е)
Е, е, Хью Хефнер (Е)
Е, е, Хью Хефнер
Bitch, я вишу, как молодой Хефнер (Ах)

[Куплет]
Цепи висят на папе (Е)
Сука, я в Dolce тапах (Е)
Сука, так манит запах (Е)
Мы на Pornhub'е с thottie (Е)
Суку беру, да сзади (Е)
В халате на яхте (Е)
Всё, чё поднял, — потратил (Е)
На хуй копить, я спятил, стоп
Сука на мне, дай топ (Дай топ)
Цепи на мне, как лёд (Как лёд)
Сука на мне верхом (Я конь)
Я будто Боб, а ты (Планктон)
Парень, я в ударе, ты не путай берегов (Да)
Если ты не понял, что я гений, то ты лох (Бля)
Если ты не понял, что я гений, то мне пох
(Ра-та-та-та-та) Let it go, let it go
You might also like
ICE
MORGENSHTERN
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
Cristal & МОЁТ
MORGENSHTERN
[Припев]
Эй, Хью Хефнер (Е)
Е, е, Хью Хефнер (Бр-пау)

[Интерлюдия]
Е, е, бля, у меня голос охрип
Кхм-кхм-кхм-кхм, ну и похуй

[Припев]
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Bitch, я вишу, как молодой Хефнер
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Bitch, я вишу, как молодой Хефнер

[Аутро]
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Bitch, я вишу, как молодой Хефнер
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Е, е, Хью Хефнер
Bitch, я вишу, как молодой Хефнер, а"
Новый Мерин (New Benz),"(А, а, а, а, а, а)
(Бэ-бэ-бэ)
(Бэ-бэ-бэ-бэ-бэ-бэ-бэ-бэ, ха)
Выеб города и заработал денег (Эй)
Ныне мою жопу возит новый Мерин (Мерин-Мерин)
Выеб города и заработал денег (Много)
Жопу моей дамы возит новый Мерин (Ай-ай)

[Припев]
Выеб города и заработал денег (Денег-денег)
Ныне мою жопу возит новый Мерин (Мерин-Мерин)
Выеб города и заработал денег (Денег-денег)
Жопу моей дамы возит новый Мерин (Ай-ай)
Выеб города и заработал денег (Денег-денег)
Ныне мою жопу возит новый Мерин (Мерин-Мерин)
Выеб города и заработал денег (Денег-денег)
Жопу моей дамы возит новый Мерин

[Куплет]
Эй, ты думал, будет бас? Наебал (А-ха)
Я блогер — подпишись на канал (Subscribe)
Я из купюрок веер собрал (Ха-ха)
И самый новый Мерин забрал
Эй, у тебя горит, парень, не ори (Эй-эй)
У меня горит — это габарит, эй
У тебя болит, у меня болид
Тебя наебли, а я на Бали
Эй-эй, эй, больше нету слов
(Эй-эй, эй; слов) Больше нету слов
(Эй, эй) Больше нету слов
(Эй, эй) Знаешь, почему?
Мне лень, мне лень
Мне лень, мне лень
Мне лень, мне лень
You might also like
Последняя Любовь (Last Love)
MORGENSHTERN
Yung Hefner
MORGENSHTERN
Cadillac
MORGENSHTERN & Элджей (Eldzhey)
[Интерлюдия]
Ну а чё? Могу себе позволить

[Бридж]
(Ай-ай-ай-ай)
Выеб города и заработал денег (Денег-денег)
Ныне мою жопу возит новый Мерин (Мерин-Мерин)
Выеб города и заработал денег (Денег-денег)
Жопу моей дамы возит новый Мерин
Эй, ты думал, будет бас? Наеба— (Ай-ай-ай-ай)

[Припев]
Выеб города и заработал денег (Денег-денег)
Ныне мою жопу возит новый Мерин (Мерин-Мерин)
Выеб города и заработал денег (Денег-денег)
Жопу моей дамы возит новый Мерин (Ай-ай)
Выеб города и заработал денег (Денег-денег)
Ныне мою жопу возит новый Мерин (Мерин-Мерин)
Выеб города и заработал денег (Денег-денег)
Жопу моей дамы возит новый Мерин (Ай-ай-ай-ай)"
